file_name,content,datetime,keywords,cities,roads
8343,"NOVE Prometne informacije 13. 10. 2022 13.00 1. in 2. program Podatki o prometu. Štajerska avtocesta proti Mariboru je spet odprta med Slovenskimi Konjicami in Slovensko Bistrico, vendar sta zaradi nesreče zdaj tam zaprta vozni in prehitevalni pas. Promet poteka po skrajno desnem zaviralnem pasu. Pred izvozom Slovenske Konjice je še vedno daljši zastoj, ki sega do priključka Dramlje. Vozniki osebnih vozil se lahko preusmerijo na regionalno cesto Celje-center - Vojnik - Slovenske Konjice - Slovenska Bistrica. Na gorenjski avtocesti proti Karavankam je zaradi del krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Regionalna cesta Krško-Brežice je spet odprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ",2022-10-13 13:00:00,"['zaradi', 'zastoj', 'vozil', '13', 'pred']","['Celje', 'Krško', 'Bistrica', 'Dramlje', 'Vojnik', 'Karavanke', 'Brežice', 'Maribor', 'Šentvid', 'Libna']",[]
8344,"Prometne informacije 13. 10. 2022 13.00 1. in 2. program Podatki o prometu. Štajerska avtocesta proti Mariboru je zaradi prometne nesreče zaprta med Slovenskimi Konjicami in Slovensko Bistrico. Pred izvozom Slovenske Konjice, kjer je promet preusmerjen na regionalno cesto, nastaja daljši zastoj. Voznikom osebnih vozil priporočamo obvoz po regionalni cesti Celje-center - Vojnik - Slovenske Konjice - Slovenska Bistrica. Na gorenjski avtocesti proti Karavankam je zaradi del krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Regionalna cesta Krško-Brežice je zaradi nesreče še vedno zaprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ",2022-10-13 13:00:00,"['zaradi', 'zastoj', 'proti', 'vozil', 'zaprta']","['Celje', 'Krško', 'Bistrica', 'Vojnik', 'Karavanke', 'Brežice', 'Maribor', 'Šentvid', 'Libna']",[]
8345,"Prometne informacije 13. 10. 2022 12.30 2. program Podatki o prometu. Štajerska avtocesta proti Mariboru je še vedno zaprta med Slovenskimi Konjicami in Slovensko Bistrico. Voznikom osebnih vozil priporočamo obvoz po regionalni cesti Celje-center - Vojnik - Slovenske Konjice - Slovenska Bistrica, voznike v zastoju pa opozarjamo, naj pustijo dovolj prostora za intervencijska vozila. Na gorenjski avtocesti proti Karavankam je zaradi del krajši zastoj pred predorom Šentvid. Regionalna cesta Krško-Brežice je zaradi nesreče še vedno zaprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ",2022-10-13 12:30:00,"['še', 'vedno', 'vozil', 'zaprta', 'zaradi']","['Celje', 'Krško', 'Bistrica', 'Vojnik', 'Karavanke', 'Brežice', 'Maribor', 'Šentvid', 'Libna']",[]
8346,Prometne informacije 13. 10. 2022 12.00 1. in 3. program Podatki o prometu. Na štajerski avtocesti proti Mariboru je zaradi nesreče promet oviran med Slovenskimi Konjicami in Slovensko Bistrico. Proti Ljubljani je med Žalcem in Šempetrom obtičal tovornjak. Na gorenjski avtocesti proti Karavankam je zaradi del še vedno krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Regionalna cesta Krško-Brežice je zaradi prometne nesreče zaprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ,2022-10-13 12:00:00,"['zaradi', 'proti', 'prometne', 'promet', 'avtocesti']","['Krško', 'Ljubljana', 'Bistrica', 'Žalec', 'Karavanke', 'Brežice', 'Maribor', 'Šentvid', 'Libna']",[]
8347,Prometne informacije 13. 10. 2022 11.30 2. program Podatki o prometu. Na štajerski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med Slovenskimi Konjicami in Dramljami v predoru Golo Rebro. V isti smeri je zaradi pokvarjenih vozil promet oviran pri priključku Dramlje ter med priključkoma Žalec in Šempeter. Na gorenjski avtocesti proti Karavankam je zaradi del še vedno krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Regionalna cesta Krško-Brežice je zaradi prometne nesreče zaprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ,2022-10-13 11:30:00,"['zaradi', 'vozil', 'prometne', 'proti', 'promet']","['Krško', 'Ljubljana', 'Žalec', 'Dramlje', 'Karavanke', 'Brežice', 'Šentvid', 'Libna']",[]
8348,Prometne informacije 13. 10. 2022 11.00 1. in 3. program Podatki o prometu. Na štajerski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med Slovenskimi Konjicami in Dramljami v predoru Golo rebro. Pred predorom nastaja zastoj. Na gorenjski avtocesti proti Karavankam je prav tako zaradi del krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Regionalna cesta Krško-Brežice je zaradi prometne nesreče zaprta pri Libni. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ,2022-10-13 11:00:00,"['zaradi', 'zastoj', 'proti', 'prometne', 'pred']","['Krško', 'Ljubljana', 'Dramlje', 'Karavanke', 'Brežice', 'Šentvid', 'Libna']",[]
8349,Prometne informacije 13. 10. 2022 10.30 2. program Podatki o prometu. Na gorenjski avtocesti proti Karavankam je zaradi del nastal krajši zastoj pred predorom Šentvid. Opozarjamo na nevarnost naleta. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. Kot smo že poročali so na primorski avtocesti proti Ljubljani odstranili posledice nesreče med Uncem in Logatcem. Tudi zastojev tam ni več. Na mejnem prehodu Gruškovje je povečan promet tovornih vozil pri vstopu v državo. ,2022-10-13 10:30:00,"['proti', 'avtocesti', 'promet', 'zaradi', '10']","['Ljubljana', 'Trojane', 'Vransko', 'Karavanke', 'Logatec', 'Šentvid']",[]
8350,Prometne informacije 13. 10. 2022 10.00 2. program Podatki o prometu. Zaradi prometne nesreče je na primorski avtocesti na odseku Unec-Logatec pred počivališčem Lom zaprt vozni pas proti Ljubljani. Zastoj je dolg 6 kilometrov. Čas potovanja se podaljša za približno 20 minut. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. ,2022-10-13 10:00:00,"['zaradi', 'proti', 'odseku', 'ljubljani', '10']","['Lom', 'Ljubljana', 'Unec', 'Trojane', 'Vransko', 'Logatec']",[]
8351,Prometne informacije 13. 10. 2022 09.30 2. program Podatki o prometu. Zaradi prometne nesreče je na primorski avtocesti na odseku Unec-Logatec pred počivališčem Lom zaprt vozni pas proti Ljubljani. Nastal je 6 kilometrov dolg zastoj. Čas potovanja se podaljša za približno 20 minut. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. V isti smeri je promet med Framom in Slovensko Bistrico oviran zaradi predmeta na vozišču. ,2022-10-13 09:30:00,"['zaradi', 'proti', 'promet', 'prometne', 'ljubljani']","['Lom', 'Ljubljana', 'Bistrica', 'Unec', 'Trojane', 'Vransko', 'Fram', 'Logatec']",[]
8352,Prometne informacije 30. 10. 2022 06.00 1. in 2. program Podatki o prometu. Ponekod po državi megla v pasovih zmanjšuje vidljivost. Na pomurski avtocesti proti Mariboru je zaradi predmeta na vozišču promet oviran med počivališčem Dolinsko in priključkom Gančani. Zaradi del je promet na gorenjski avtocesti med priključkoma Lesce in Podtabor urejen dvosmerno po polovici avtoceste. ,2022-10-30 06:00:00,"['zaradi', 'med', 'promet', 'avtocesti', 'vidljivost']","['Lesce', 'Maribor', 'Podtabor']",[]
8353,Prometne informacije 13. 10. 2022 09.00 1. program Podatki o prometu. Zaradi prometne nesreče je na primorski avtocesti na odseku Unec-Logatec pred počivališčem Lom zaprt vozni pas proti Ljubljani. Nastal je krajši zastoj. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. ,2022-10-13 09:00:00,"['zaradi', 'odseku', 'pred', 'proti', 'prometne']","['Lom', 'Ljubljana', 'Unec', 'Trojane', 'Vransko', 'Logatec']",[]
8354,Prometne informacije 13. 10. 2022 08.30 2. program Podatki o prometu. Na primorski avtocesti je zaradi prometne nesreče oviran promet med Logatcem in Vrhniko proti Ljubljani. Nastaja zastoj. Prav tako zaradi nesreče je na ljubljanski južni obvoznici oviran promet pred priključkom Vič proti Dolenjski. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. ,2022-10-13 08:30:00,"['zaradi', 'oviran', 'promet', 'proti', 'prometne']","['Ljubljana', 'Trojane', 'Vransko', 'Vič', 'Logatec', 'Vrhnika']",[]
8355,Prometne informacije 13. 10. 2022 08.00 1. program Podatki o prometu. Zaradi prometne nesreče je na ljubljanski severni obvoznici oviran promet pred izvozom Bežigrad proti Zadobrovi. Na štajerski avtocesti proti Ljubljani je zaradi pokvarjenega vozila oviran promet na odseku Vransko-Trojane pred predorom Ločica. ,2022-10-13 08:00:00,"['zaradi', 'proti', 'promet', 'prometne', 'pred']","['Zadobrova', 'Ljubljana', 'Trojane', 'Vransko']",[]
8356,NOVEPrometne informacije 13. 10. 2022 07.00 1. in 2. program Podatki o prometu. Zaradi prometne nesreče je na štajerski avtocesti zaprt prehitevalni pas med priključkoma Lukovica in Krtina proti Ljubljani. Nastaja zastoj. Prav tako zaradi nesreče je na ljubljanski severni obvoznici oviran promet pred izvozom Bežigrad proti Zadobrovi. Zaradi del promet na dolenjski avtocesti v obe smeri poteka samo po enem prometnem pasu med priključkoma Kronovo in Smednik. Proti Obrežju je zaprt tudi priključek Dobruška vas. ,2022-10-13 07:00:00,"['zaradi', 'proti', 'promet', 'zaprt', 'priključkoma']","['Krtina', 'Zadobrova', 'Ljubljana', 'Obrežje', 'Lukovica', 'Smednik']",[]
8357,Prometne informacije 13. 10. 2022 07.00 1. in 2. program Podatki o prometu. Zaradi prometne nesreče je na ljubljanski severni obvoznici oviran promet pred izvozom Bežigrad proti Zadobrovi. Zaradi del promet na dolenjski avtocesti v obe smeri poteka samo po enem prometnem pasu med priključkoma Kronovo in Smednik. Proti Obrežju je zaprt tudi priključek Dobruška vas. ,2022-10-13 07:00:00,"['zaradi', 'proti', 'promet', 'prometne', 'zaprt']","['Zadobrova', 'Obrežje', 'Smednik']",[]
8358,Prometne informacije 13. 10. 2022 06.30 1. in 2. program Podatki o prometu. Zaradi prometne nesreče je na štajerski avtocesti pred priključkom Trojane zaprt prehitevalni pas proti Ljubljani. Nastaja zastoj. Zaradi del je na primorski avtocesti promet med Divačo in Kozino urejen le po polovici avtoceste v obe smeri. ,2022-10-13 06:30:00,"['zaradi', 'avtocesti', 'prometne', 'zastoj', 'štajerski']","['Ljubljana', 'Trojane', 'Kozina', 'Divača']",[]
